date,value
2016-09-20,1324.66
2016-09-25,1289.77
2016-09-30,1336.7
2016-10-05,1336.7
2016-10-10,1330.08
2016-10-15,1319.85
2016-10-20,1312.63
2016-10-25,1385.42
2016-10-30,1347.52
2016-11-04,1347.52
2016-11-09,1347.52
2016-11-14,1347.52
2016-11-19,1354.74
2016-11-24,1586.95
2016-11-29,1712.68
2016-12-04,1730.12
2016-12-09,1623.65
2016-12-14,1521.98
2016-12-19,1453.4
2016-12-24,1449.19
2016-12-29,1493.71
2017-01-03,1507.54
2017-01-08,1503.93
2017-01-13,1453.4
2017-01-18,1501.53
2017-01-23,1520.78
2017-01-28,1550.86
2017-02-02,1550.86
2017-02-07,1511.75
2017-02-12,1562.29
2017-02-17,1648.91
2017-02-22,1703.65
2017-02-27,1632.07
2017-03-04,1642.29
2017-03-09,1708.47
2017-03-14,1727.12
2017-03-19,1733.13
2017-03-24,1897.36
2017-03-29,1876.91
2017-04-03,1906.99
2017-04-08,1913.6
2017-04-13,1879.92
2017-04-18,1938.87
2017-04-23,1979.78
2017-04-28,1985.19
2017-05-03,1964.14
2017-05-08,1905.78
2017-05-13,1989.4
2017-05-18,1963.53
2017-05-23,2044.75
2017-05-28,2049.56
2017-06-02,2015.27
2017-06-07,2081.44
2017-06-12,2260.11
2017-06-17,2165.06
2017-06-22,2323.28
2017-06-27,2492.32
2017-07-02,2476.68
2017-07-07,2310.64
2017-07-12,2453.82
2017-07-17,2470.06
2017-07-22,2449.0
2017-07-27,2340.12
2017-08-01,2361.78
2017-08-06,2273.34
2017-08-11,2295.6
2017-08-16,2281.17
2017-08-21,2340.12
2017-08-26,2385.24
2017-08-31,2325.08
2017-09-05,2293.8
2017-09-10,2231.23
2017-09-15,2282.37
2017-09-20,2275.75
2017-09-25,2341.92
2017-09-30,2279.96
2017-10-05,2279.96
2017-10-10,2333.5
2017-10-15,2422.53
2017-10-20,2436.37
2017-10-25,2515.18
2017-10-30,2631.88
2017-11-04,2516.38
2017-11-09,2631.28
2017-11-14,2698.66
2017-11-19,2764.23
2017-11-24,2737.76
2017-11-29,2553.68
2017-12-04,2536.23
2017-12-09,2507.96
2017-12-14,2630.08
2017-12-19,2681.81
2017-12-24,2711.29
2017-12-29,2628.87
2018-01-03,2746.18
2018-01-08,2877.32
2018-01-13,3206.38
2018-01-18,3143.82
2018-01-23,3416.33
2018-01-28,3453.03
2018-02-02,3338.13
2018-02-07,3024.71
2018-02-12,3098.7
2018-02-17,3262.93
2018-02-22,3308.05
2018-02-27,3128.78
2018-03-04,3157.06
2018-03-09,3190.74
2018-03-14,3139.01
2018-03-19,3184.13
2018-03-24,2940.49
2018-03-29,2833.41
2018-04-03,2774.46
2018-04-08,2815.36
2018-04-13,2854.46
2018-04-18,2728.13
2018-04-23,2991.02
2018-04-28,2651.73
2018-05-03,2754.6
2018-05-08,2887.55
2018-05-13,2857.47
2018-05-18,2903.79
2018-05-23,2780.47
2018-05-28,2805.14
2018-06-02,2802.13
2018-06-07,2886.35
2018-06-12,3031.93
2018-06-17,2948.31
2018-06-22,2891.16
2018-06-27,2735.35
2018-07-02,2728.13
2018-07-07,2658.95
2018-07-12,2773.25
2018-07-17,2751.6
2018-07-22,2710.69
2018-07-27,2654.14
2018-08-01,2589.77
2018-08-06,2335.91
2018-08-11,2448.4
2018-08-16,2327.49
2018-08-21,2393.06
2018-08-26,2342.53
2018-08-31,2343.13
2018-09-05,2262.52
2018-09-10,2165.66
2018-09-15,2230.63
2018-09-20,2310.64
2018-09-25,2349.14
2018-09-30,2418.32
2018-10-05,2418.32
2018-10-10,2304.63
2018-10-15,2295.0
2018-10-20,2323.88
2018-10-25,2352.15
2018-10-30,2225.82
2018-11-04,2415.92
2018-11-09,2324.48
2018-11-14,2334.1
2018-11-19,2337.71
2018-11-24,2253.49
2018-11-29,2230.03
2018-12-04,2276.95
2018-12-09,2194.54
2018-12-14,2245.67
2018-12-19,2191.53
2018-12-24,2176.49
2018-12-29,2147.01
2019-01-03,2160.85
2019-01-08,2186.12
2019-01-13,2269.74
2019-01-18,2344.33
2019-01-23,2357.56
2019-01-28,2423.74
2019-02-02,2524.2
2019-02-07,2524.2
2019-02-12,2600.0
2019-02-17,2571.72
2019-02-22,2704.67
2019-02-27,2680.01
2019-03-04,2806.34
2019-03-09,2677.6
2019-03-14,2734.75
2019-03-19,2840.03
2019-03-24,2776.86
2019-03-29,2840.03
2019-04-03,2840.03
2019-04-08,2840.03
2019-04-13,3281.58
2019-04-18,3579.36
2019-04-23,3668.99
2019-04-28,3379.64
2019-05-03,3343.54
2019-05-08,3148.03
2019-05-13,3254.51
2019-05-18,3296.62
2019-05-23,3181.12
2019-05-28,3302.64
2019-06-02,3146.83
2019-06-07,3164.27
2019-06-12,3175.1
2019-06-17,3052.38
2019-06-22,3206.99
2019-06-27,3308.05
2019-07-02,3523.41
2019-07-07,3495.14
2019-07-12,3397.68
2019-07-17,3280.38
2019-07-22,3248.49
2019-07-27,3336.32
2019-08-01,3229.24
2019-08-06,3063.81
2019-08-11,3004.26
2019-08-16,3083.06
2019-08-21,3280.98
2019-08-26,3258.72
2019-08-31,3338.73
2019-09-05,3541.46
2019-09-10,3573.34
2019-09-15,3585.98
2019-09-20,3491.53
2019-09-25,3478.3
2019-09-30,3447.01
2019-10-05,3447.01
2019-10-10,3471.68
2019-10-15,3543.27
2019-10-20,3477.09
2019-10-25,3437.99
2019-10-30,3529.43
2019-11-04,3877.14
2019-11-09,3826.61
2019-11-14,3557.1
2019-11-19,3576.95
2019-11-24,3412.12
2019-11-29,3471.68
2019-12-04,3764.64
2019-12-09,3738.78
2019-12-14,3789.31
2019-12-19,3910.23
2019-12-24,3911.43
2019-12-29,3881.95
2020-01-03,4036.56
2020-01-08,4138.82
2020-01-13,4196.57
2020-01-18,4085.28
2020-01-23,3846.46
2020-01-28,3846.46
2020-02-02,3846.46
2020-02-07,3752.61
2020-02-12,3839.24
2020-02-17,3797.13
2020-02-22,3768.25
2020-02-27,3652.15
2020-03-03,3608.84
