date,open,close,high,low,amount
2020-12-30,60.8,61.27,61.27,60.34,344842.68
2020-12-31,60.88,61.94,62.39,60.8,439392.94
2021-01-04,61.8,62.9,63.33,61.6,549035.78
2021-01-05,62.36,65.26,65.53,62.36,700888.87
2021-01-06,66.0,64.07,66.78,63.69,521703.79
2021-01-07,64.06,64.7,65.04,63.5,464750.55
2021-01-08,64.96,64.7,66.37,64.0,499502.05
2021-01-11,64.13,62.45,64.88,62.21,581829.03
2021-01-12,62.1,63.66,64.08,62.09,447314.42
2021-01-13,64.0,64.92,66.0,63.76,571627.21
2021-01-14,65.02,63.12,65.57,63.0,447035.12
2021-01-15,62.72,63.4,63.69,62.31,345371.5
2021-01-18,63.0,63.76,64.2,62.6,383904.98
2021-01-19,63.72,62.92,65.09,62.66,408454.05
2021-01-20,62.79,61.0,62.85,60.89,608480.99
2021-01-21,60.88,61.36,62.18,60.6,490762.91
2021-01-22,61.3,60.23,61.5,59.75,568391.04
2021-01-25,60.23,60.02,60.79,59.7,525076.66
2021-01-26,59.8,59.0,59.8,58.6,463564.22
2021-01-27,59.0,59.41,60.46,58.0,535043.24
2021-01-28,58.64,57.29,58.7,57.23,522870.08
2021-01-29,57.23,56.3,57.79,55.88,493888.8
2021-02-01,56.51,56.43,57.2,55.75,317693.43
2021-02-02,56.45,59.63,59.67,56.44,674378.31
2021-02-03,59.98,58.82,60.37,58.4,474061.54
2021-02-04,58.0,58.59,59.39,57.88,301419.87
2021-02-05,58.5,58.94,59.52,58.35,279933.34
2021-02-08,59.17,58.84,59.87,58.37,323710.43
2021-02-09,59.0,59.03,59.25,57.46,470290.19
2021-02-10,59.05,60.49,61.3,58.9,561204.7
2021-02-18,61.05,60.47,61.8,59.68,526608.1
2021-02-19,60.4,61.03,61.5,59.9,406628.51
2021-02-22,60.1,58.48,60.14,57.94,607496.22
2021-02-23,58.09,57.05,58.48,56.93,547360.8
2021-02-24,57.51,57.28,58.21,57.0,492439.04
2021-02-25,57.83,59.85,60.49,57.77,792238.18
2021-02-26,59.1,59.0,60.89,58.88,591318.18
