date,open,close,high,low,amount
2020-12-30,880.03,887.3,902.81,865.7,758329.89
2020-12-31,897.7,901.63,916.65,871.49,851979.03
2021-01-04,901.63,979.19,992.15,901.63,1132259.43
2021-01-05,968.49,1026.02,1045.75,957.59,991979.22
2021-01-06,1026.41,1046.93,1059.69,1013.06,862447.61
2021-01-07,1072.26,1111.24,1123.31,1051.84,988987.21
2021-01-08,1135.29,1080.31,1145.11,1046.34,1266200.17
2021-01-11,1084.24,1038.59,1084.24,1025.04,985286.5
2021-01-12,1033.78,1075.89,1082.47,1026.12,854056.08
2021-01-13,1077.56,1058.52,1119.29,1043.5,879976.39
2021-01-14,1037.11,987.93,1038.29,978.11,1209975.01
2021-01-15,977.23,1001.28,1011.1,963.58,790026.25
2021-01-18,978.21,1009.33,1020.42,972.02,712452.94
2021-01-19,1032.21,1002.75,1045.66,988.81,615736.11
2021-01-20,1010.61,1059.79,1060.48,995.88,739911.77
2021-01-21,1074.03,1115.85,1131.95,1051.84,954058.37
2021-01-22,1116.15,1171.62,1193.31,1116.15,888397.28
2021-01-25,1179.86,1142.85,1223.65,1112.71,1155618.85
2021-01-26,1135.19,1116.44,1142.16,1098.18,717691.32
2021-01-27,1110.75,1204.01,1204.01,1094.06,988605.11
2021-01-28,1156.5,1108.19,1175.35,1104.56,920576.88
2021-01-29,1105.84,1052.33,1105.84,1014.73,1373757.58
2021-02-01,1037.11,1046.15,1061.07,1015.32,752542.08
2021-02-02,1059.69,1066.67,1091.5,1028.08,714914.18
2021-02-03,1084.24,1064.8,1114.67,1050.96,789819.35
2021-02-04,1046.93,1083.65,1103.97,1041.73,728164.16
2021-02-05,1106.82,1121.74,1160.91,1105.84,1002456.06
2021-02-08,1121.74,1097.98,1121.74,1040.16,836329.54
2021-02-09,1105.84,1149.13,1153.75,1101.03,814086.16
2021-02-10,1174.46,1194.0,1205.98,1150.02,809834.14
2021-02-18,1217.56,1197.14,1230.33,1174.66,778895.7
2021-02-19,1172.3,1145.11,1181.43,1112.71,777775.12
2021-02-22,1125.47,1065.39,1168.67,1061.66,887537.03
2021-02-23,1037.11,1088.85,1111.24,1022.39,655353.11
2021-02-24,1076.29,1017.48,1091.99,988.12,1005151.22
2021-02-25,1046.93,1017.48,1048.01,1009.82,602497.22
2021-02-26,978.21,1021.99,1041.92,968.39,763989.25
2021-03-01,1051.84,1070.59,1087.18,1037.21,702363.32
2021-03-02,1086.01,1076.29,1110.75,1047.23,665147.29
2021-03-03,1068.33,1056.75,1068.83,1028.87,588298.44
